subject_id,T0,T2,T3,T6,T10
99681920,[3. 0. 0. 5.],[2. 0. 1.],[0. 0. 0.],[0. 2. 1. 0.],[0. 0. 0. 0.]
99681923,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 0. 1. 0.],[0. 0. 0. 0.]
99681928,[5. 0. 1. 1.],[5. 0. 1.],[0. 0. 1.],[1. 1. 1. 3.],[0. 1. 0. 0.]
99681931,[1. 1. 0. 5.],[1. 0. 0.],[0. 1. 0.],[0. 0. 0. 1.],[0. 1. 0. 0.]
99681933,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681935,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681937,[2. 3. 3. 0.],[2. 0. 3.],[0. 4. 2.],[0. 1. 2. 2.],[0. 2. 3. 1.]
99681940,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99681943,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[1. 0. 4. 0.],[0. 0. 0. 0.]
99681945,[6. 0. 0. 1.],[5. 1. 0.],[0. 0. 0.],[0. 3. 2. 1.],[0. 0. 0. 0.]
99681947,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681948,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 2. 4. 1.],[0. 0. 0. 0.]
99681949,[3. 0. 0. 4.],[3. 0. 0.],[0. 0. 0.],[0. 0. 0. 3.],[0. 0. 0. 0.]
99681950,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 1. 1. 5.],[0. 0. 0. 0.]
99681952,[1. 3. 3. 0.],[1. 1. 2.],[0. 5. 1.],[0. 0. 3. 1.],[0. 2. 4. 0.]
99681955,[1. 1. 3. 2.],[2. 1. 1.],[0. 3. 1.],[0. 3. 0. 1.],[0. 1. 1. 2.]
99681956,[1. 0. 1. 6.],[0. 2. 0.],[0. 1. 0.],[0. 0. 0. 2.],[0. 0. 0. 1.]
99681957,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[1. 2. 1. 1.],[0. 0. 0. 0.]
99681960,[5. 1. 1. 0.],[6. 0. 0.],[0. 1. 1.],[0. 0. 1. 5.],[0. 0. 0. 2.]
99681965,[3. 1. 2. 1.],[0. 5. 0.],[0. 3. 0.],[0. 2. 2. 1.],[0. 1. 2. 0.]
99681967,[0. 7. 0. 1.],[0. 0. 0.],[0. 7. 0.],[0. 0. 0. 0.],[0. 2. 0. 5.]
99681968,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99681971,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99681980,[0. 0. 0. 4.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99681985,[0. 0. 0. 5.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99681986,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99681995,[0. 0. 1. 6.],[0. 0. 1.],[0. 0. 1.],[0. 0. 1. 0.],[0. 0. 1. 0.]
99681999,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682003,[0. 0. 0. 4.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682006,[6. 0. 1. 0.],[7. 0. 0.],[0. 1. 0.],[0. 3. 0. 4.],[0. 1. 0. 0.]
99682008,[6. 0. 1. 0.],[7. 0. 0.],[1. 0. 0.],[1. 3. 1. 2.],[0. 1. 0. 0.]
99682009,[0. 4. 3. 1.],[2. 0. 1.],[1. 3. 3.],[0. 2. 1. 0.],[0. 2. 3. 2.]
99682011,[4. 1. 2. 0.],[5. 1. 0.],[1. 2. 0.],[0. 2. 2. 2.],[0. 2. 0. 1.]
99682012,[3. 1. 3. 0.],[6. 0. 0.],[4. 0. 0.],[0. 4. 2. 0.],[0. 2. 2. 0.]
99682016,[7. 0. 0. 0.],[6. 0. 1.],[0. 0. 0.],[0. 1. 3. 3.],[0. 0. 0. 0.]
99682017,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[1. 0. 0. 5.],[0. 0. 0. 0.]
99682018,[4. 0. 2. 1.],[6. 0. 0.],[0. 2. 0.],[1. 3. 2. 0.],[0. 2. 0. 0.]
99682021,[6. 0. 1. 0.],[6. 0. 1.],[0. 0. 1.],[0. 3. 0. 4.],[0. 1. 0. 0.]
99682024,[3. 0. 2. 2.],[4. 1. 0.],[0. 2. 0.],[1. 0. 1. 3.],[1. 1. 0. 0.]
99682025,[7. 1. 0. 0.],[7. 0. 0.],[0. 0. 1.],[0. 5. 2. 0.],[0. 1. 0. 0.]
99682027,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682030,[5. 1. 1. 0.],[6. 0. 0.],[0. 2. 0.],[0. 4. 1. 1.],[0. 2. 0. 0.]
99682038,[2. 0. 5. 0.],[5. 0. 2.],[1. 3. 1.],[0. 0. 0. 7.],[0. 0. 0. 5.]
99682039,[4. 0. 3. 0.],[7. 0. 0.],[1. 2. 0.],[0. 0. 0. 7.],[0. 0. 0. 3.]
99682042,[3. 1. 3. 0.],[6. 0. 0.],[0. 3. 1.],[0. 0. 0. 6.],[0. 0. 1. 3.]
99682045,[5. 0. 2. 0.],[7. 0. 0.],[0. 2. 0.],[0. 0. 0. 7.],[0. 0. 0. 2.]
99682053,[2. 0. 0. 6.],[2. 0. 0.],[0. 0. 0.],[0. 0. 0. 2.],[0. 0. 0. 0.]
99682054,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 4. 1. 2.],[0. 0. 0. 0.]
99682056,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 0. 0. 6.],[0. 0. 0. 0.]
99682058,[0. 0. 8. 0.],[7. 0. 1.],[0. 8. 0.],[0. 0. 0. 8.],[0. 0. 0. 8.]
99682061,[0. 1. 0. 7.],[0. 0. 0.],[0. 1. 0.],[0. 0. 0. 0.],[0. 1. 0. 0.]
99682069,[1. 3. 1. 2.],[1. 1. 0.],[0. 4. 0.],[0. 1. 1. 0.],[0. 2. 1. 1.]
99682070,[3. 0. 2. 2.],[0. 4. 1.],[0. 2. 0.],[0. 1. 1. 3.],[0. 1. 1. 0.]
99682071,[6. 1. 0. 1.],[4. 0. 2.],[0. 1. 0.],[0. 1. 0. 5.],[0. 1. 0. 0.]
99682072,[0. 0. 0. 4.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682073,[1. 0. 0. 6.],[0. 1. 0.],[0. 0. 0.],[1. 0. 0. 0.],[0. 0. 0. 0.]
99682076,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682077,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682078,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[0. 2. 0. 3.],[0. 0. 0. 0.]
99682079,[5. 0. 1. 1.],[6. 0. 0.],[0. 1. 0.],[0. 4. 2. 0.],[0. 0. 0. 1.]
99682080,[4. 0. 1. 2.],[4. 0. 1.],[1. 0. 0.],[0. 2. 1. 2.],[0. 1. 0. 0.]
99682083,[1. 0. 1. 6.],[1. 0. 1.],[1. 0. 0.],[0. 2. 0. 0.],[0. 1. 0. 0.]
99682084,[5. 0. 1. 1.],[5. 1. 0.],[1. 0. 0.],[1. 0. 3. 2.],[0. 0. 0. 1.]
99682085,[8. 0. 0. 0.],[8. 0. 0.],[0. 0. 0.],[0. 0. 0. 8.],[0. 0. 0. 0.]
99682086,[5. 0. 1. 2.],[5. 1. 0.],[0. 0. 1.],[0. 2. 2. 2.],[0. 1. 0. 0.]
99682088,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[1. 0. 0. 6.]
99682093,[0. 5. 0. 2.],[0. 0. 0.],[0. 5. 0.],[0. 0. 0. 0.],[0. 0. 0. 5.]
99682099,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[1. 2. 0. 4.]
99682101,[1. 7. 0. 0.],[0. 1. 0.],[1. 6. 0.],[1. 0. 0. 0.],[0. 0. 0. 7.]
99682105,[1. 6. 0. 0.],[0. 1. 0.],[0. 6. 0.],[0. 1. 0. 0.],[0. 0. 0. 6.]
99682108,[1. 1. 4. 1.],[5. 0. 0.],[1. 4. 0.],[1. 1. 0. 3.],[0. 0. 0. 5.]
99682110,[0. 7. 0. 0.],[0. 0. 0.],[0. 7. 0.],[0. 0. 0. 0.],[0. 0. 1. 6.]
99682115,[0. 5. 0. 2.],[0. 0. 0.],[1. 3. 1.],[0. 0. 0. 0.],[0. 0. 0. 5.]
99682119,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[0. 1. 0. 6.]
99682124,[1. 0. 5. 2.],[5. 0. 1.],[0. 5. 0.],[0. 0. 1. 5.],[0. 0. 1. 4.]
99682126,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[0. 2. 0. 5.],[0. 0. 0. 0.]
99682127,[0. 2. 5. 0.],[5. 0. 0.],[1. 6. 0.],[0. 0. 0. 5.],[0. 0. 0. 7.]
99682129,[1. 4. 2. 0.],[2. 0. 1.],[0. 6. 0.],[0. 0. 1. 2.],[0. 0. 0. 6.]
99682131,[0. 2. 5. 0.],[4. 1. 0.],[0. 6. 1.],[1. 0. 0. 4.],[1. 1. 1. 4.]
99682132,[6. 0. 0. 1.],[3. 1. 2.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99682133,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682152,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682154,[6. 1. 0. 0.],[6. 0. 0.],[0. 0. 1.],[1. 2. 3. 0.],[1. 0. 0. 0.]
99682156,[0. 3. 4. 0.],[1. 1. 2.],[0. 5. 2.],[0. 3. 1. 0.],[0. 5. 2. 0.]
99682160,[0. 4. 0. 4.],[0. 0. 0.],[0. 4. 0.],[0. 0. 0. 0.],[0. 0. 0. 4.]
99682164,[5. 0. 1. 1.],[5. 1. 0.],[1. 0. 0.],[1. 0. 0. 5.],[1. 0. 0. 0.]
99682165,[0. 7. 0. 1.],[0. 0. 0.],[1. 6. 0.],[0. 0. 0. 0.],[0. 3. 0. 4.]
99682166,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 3. 2. 1.],[0. 0. 0. 0.]
99682168,[2. 1. 2. 2.],[4. 0. 0.],[1. 2. 0.],[0. 0. 0. 4.],[1. 0. 0. 2.]
99682169,[6. 0. 0. 1.],[4. 0. 2.],[0. 0. 0.],[0. 5. 0. 1.],[0. 0. 0. 0.]
99682170,[5. 0. 2. 0.],[1. 6. 0.],[0. 2. 0.],[0. 0. 1. 6.],[0. 1. 0. 1.]
99682171,[6. 0. 0. 1.],[1. 5. 0.],[0. 0. 0.],[0. 0. 1. 5.],[0. 0. 0. 0.]
99682172,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99682173,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 2. 4.],[0. 0. 0. 0.]
99682174,[6. 0. 1. 0.],[6. 0. 1.],[0. 1. 0.],[0. 6. 0. 1.],[1. 0. 0. 0.]
99682175,[7. 0. 0. 2.],[7. 0. 0.],[0. 0. 0.],[0. 3. 4. 0.],[0. 0. 0. 0.]
99682177,[2. 0. 0. 5.],[2. 0. 0.],[0. 0. 0.],[0. 0. 0. 2.],[0. 0. 0. 0.]
99682182,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682184,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682187,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682205,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682207,[2. 0. 0. 5.],[2. 0. 0.],[0. 0. 0.],[0. 1. 0. 1.],[0. 0. 0. 0.]
99682208,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 0. 0. 1.],[0. 0. 0. 0.]
99682209,[2. 0. 5. 1.],[3. 0. 4.],[0. 3. 2.],[0. 3. 4. 0.],[0. 1. 4. 0.]
99682210,[0. 0. 1. 6.],[0. 0. 1.],[0. 1. 0.],[0. 1. 0. 0.],[0. 1. 0. 0.]
99682212,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682213,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99682214,[6. 0. 1. 0.],[6. 0. 1.],[0. 1. 0.],[0. 1. 1. 5.],[1. 0. 0. 0.]
99682215,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[2. 1. 2. 1.],[0. 0. 0. 0.]
99682216,[7. 0. 0. 0.],[6. 1. 0.],[0. 0. 0.],[0. 1. 6. 0.],[0. 0. 0. 0.]
99682219,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99682223,[6. 0. 1. 0.],[7. 0. 0.],[0. 1. 0.],[0. 2. 0. 5.],[0. 1. 0. 0.]
99682224,[0. 0. 0. 4.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682227,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682228,[1. 3. 1. 2.],[2. 0. 0.],[0. 3. 1.],[0. 0. 0. 2.],[0. 4. 0. 0.]
99682235,[0. 7. 0. 0.],[0. 0. 0.],[0. 6. 1.],[0. 0. 0. 0.],[0. 3. 2. 2.]
99682240,[0. 3. 1. 3.],[0. 0. 1.],[0. 4. 0.],[0. 1. 0. 0.],[0. 3. 1. 0.]
99682245,[0. 6. 1. 0.],[0. 1. 0.],[2. 4. 1.],[0. 0. 0. 1.],[0. 5. 0. 2.]
99682246,[0. 6. 0. 1.],[0. 0. 0.],[2. 4. 0.],[0. 0. 0. 0.],[0. 6. 0. 0.]
99682248,[0. 6. 1. 0.],[1. 0. 0.],[1. 6. 0.],[0. 0. 0. 1.],[0. 6. 0. 1.]
99682253,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682255,[1. 6. 0. 0.],[0. 0. 1.],[0. 6. 0.],[0. 1. 0. 0.],[0. 6. 0. 0.]
99682256,[0. 7. 0. 0.],[0. 0. 0.],[3. 4. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682257,[0. 5. 1. 1.],[1. 0. 0.],[0. 5. 1.],[0. 1. 0. 0.],[0. 3. 1. 2.]
99682258,[0. 6. 0. 1.],[0. 0. 0.],[3. 3. 0.],[0. 0. 0. 0.],[0. 5. 0. 1.]
99682260,[0. 6. 0. 1.],[0. 0. 0.],[0. 6. 0.],[0. 0. 0. 0.],[0. 6. 0. 0.]
99682261,[0. 5. 1. 1.],[0. 1. 0.],[0. 6. 0.],[0. 0. 0. 1.],[0. 6. 0. 0.]
99682262,[0. 6. 1. 0.],[0. 1. 0.],[1. 6. 0.],[1. 0. 0. 0.],[0. 6. 0. 1.]
99682263,[1. 4. 0. 2.],[1. 0. 0.],[1. 3. 0.],[0. 1. 0. 0.],[0. 4. 0. 0.]
99682264,[3. 0. 4. 0.],[4. 2. 1.],[1. 3. 0.],[0. 3. 2. 2.],[0. 4. 0. 0.]
99682271,[6. 0. 1. 0.],[7. 0. 0.],[1. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 1.]
99682275,[0. 2. 5. 0.],[4. 0. 1.],[0. 6. 1.],[0. 1. 2. 2.],[0. 3. 4. 0.]
99682278,[0. 3. 4. 0.],[2. 1. 1.],[0. 7. 0.],[0. 1. 1. 2.],[0. 1. 6. 0.]
99682279,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 4. 0. 3.],[0. 0. 0. 0.]
99682281,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 0. 2. 4.],[0. 0. 0. 0.]
99682290,[5. 0. 2. 0.],[5. 2. 0.],[1. 1. 0.],[1. 1. 1. 4.],[0. 1. 0. 1.]
99682293,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 1. 0. 5.],[0. 0. 0. 0.]
99682297,[3. 1. 1. 2.],[4. 0. 0.],[1. 1. 0.],[0. 2. 1. 1.],[1. 0. 0. 1.]
99682299,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 2. 1. 3.],[0. 0. 0. 0.]
99682303,[2. 3. 1. 1.],[3. 0. 0.],[0. 4. 0.],[0. 1. 1. 1.],[0. 3. 0. 1.]
99682304,[0. 7. 0. 0.],[0. 0. 0.],[3. 4. 0.],[0. 0. 0. 0.],[0. 6. 0. 1.]
99682306,[0. 7. 0. 0.],[0. 0. 0.],[1. 6. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682308,[0. 5. 1. 1.],[0. 0. 1.],[0. 6. 0.],[1. 0. 0. 0.],[0. 6. 0. 0.]
99682309,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682310,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682311,[0. 1. 0. 6.],[0. 0. 0.],[0. 1. 0.],[0. 0. 0. 0.],[0. 1. 0. 0.]
99682314,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682315,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682316,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682323,[1. 0. 1. 5.],[0. 0. 2.],[0. 1. 0.],[1. 1. 0. 0.],[0. 1. 0. 0.]
99682326,[0. 4. 0. 3.],[0. 0. 0.],[0. 4. 0.],[0. 0. 0. 0.],[0. 1. 0. 3.]
99682329,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[0. 2. 1. 2.],[0. 0. 0. 0.]
99682331,[6. 0. 1. 0.],[6. 0. 1.],[1. 0. 0.],[0. 2. 4. 1.],[0. 0. 1. 0.]
99682332,[4. 1. 1. 1.],[0. 3. 2.],[0. 2. 0.],[0. 1. 1. 3.],[0. 2. 0. 0.]
99682337,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682340,[6. 0. 0. 1.],[4. 2. 0.],[0. 0. 0.],[0. 1. 1. 4.],[0. 0. 0. 0.]
99682345,[2. 0. 0. 5.],[2. 0. 0.],[0. 0. 0.],[0. 2. 0. 0.],[0. 0. 0. 0.]
99682347,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 0. 0. 1.],[0. 0. 0. 0.]
99682356,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 4. 2. 1.],[0. 0. 0. 0.]
99682358,[5. 1. 0. 1.],[4. 1. 0.],[0. 1. 0.],[0. 0. 1. 4.],[0. 0. 1. 0.]
99682359,[0. 3. 1. 3.],[0. 1. 0.],[0. 3. 1.],[1. 0. 0. 0.],[1. 1. 1. 1.]
99682360,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[1. 1. 3. 0.],[0. 0. 0. 0.]
99682361,[1. 0. 1. 5.],[1. 1. 0.],[0. 1. 0.],[1. 1. 0. 0.],[0. 1. 0. 0.]
99682364,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682365,[4. 0. 1. 2.],[4. 0. 1.],[0. 1. 0.],[0. 3. 1. 1.],[0. 0. 1. 0.]
99682367,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[1. 2. 0. 4.],[0. 0. 0. 0.]
99682370,[6. 0. 1. 0.],[6. 0. 1.],[0. 1. 0.],[0. 2. 2. 3.],[0. 1. 0. 0.]
99682372,[0. 5. 2. 0.],[0. 1. 1.],[0. 6. 1.],[0. 2. 0. 0.],[0. 6. 0. 1.]
99682378,[0. 2. 1. 4.],[1. 0. 0.],[0. 3. 0.],[0. 0. 0. 1.],[0. 2. 0. 1.]
99682379,[5. 0. 1. 1.],[5. 1. 0.],[1. 0. 0.],[0. 4. 1. 1.],[0. 0. 1. 0.]
99682384,[0. 3. 0. 4.],[0. 0. 0.],[0. 3. 0.],[0. 0. 0. 0.],[0. 0. 0. 3.]
99682388,[0. 6. 1. 0.],[0. 1. 0.],[0. 7. 0.],[0. 0. 1. 0.],[0. 4. 3. 0.]
99682389,[3. 3. 1. 0.],[2. 1. 1.],[0. 4. 0.],[1. 2. 1. 0.],[0. 2. 2. 0.]
99682391,[0. 5. 1. 1.],[0. 1. 0.],[0. 6. 0.],[0. 0. 1. 0.],[0. 4. 2. 0.]
99682392,[2. 0. 5. 0.],[6. 0. 1.],[0. 4. 1.],[0. 1. 6. 0.],[0. 4. 1. 0.]
99682395,[4. 2. 1. 0.],[1. 2. 2.],[0. 2. 1.],[1. 0. 4. 0.],[1. 0. 2. 0.]
99682399,[1. 5. 0. 1.],[1. 0. 0.],[1. 4. 0.],[0. 0. 0. 1.],[0. 5. 0. 0.]
99682404,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682406,[0. 6. 1. 0.],[1. 0. 0.],[1. 6. 0.],[0. 1. 0. 0.],[0. 7. 0. 0.]
99682407,[0. 6. 0. 1.],[0. 0. 0.],[0. 6. 0.],[0. 0. 0. 0.],[0. 6. 0. 0.]
99682408,[0. 7. 0. 0.],[0. 0. 0.],[1. 6. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682409,[1. 4. 1. 1.],[0. 2. 0.],[0. 4. 1.],[1. 1. 0. 0.],[0. 5. 0. 0.]
99682412,[0. 7. 0. 0.],[0. 0. 0.],[1. 6. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682413,[0. 7. 0. 0.],[0. 0. 0.],[0. 7. 0.],[0. 0. 0. 0.],[0. 5. 2. 0.]
99682414,[4. 0. 0. 3.],[4. 0. 0.],[0. 0. 0.],[0. 2. 2. 0.],[0. 0. 0. 0.]
99682415,[6. 0. 0. 1.],[5. 1. 0.],[0. 0. 0.],[0. 4. 2. 0.],[0. 0. 0. 0.]
99682417,[5. 1. 1. 0.],[6. 0. 0.],[1. 1. 0.],[0. 3. 1. 2.],[0. 1. 1. 0.]
99682419,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 2. 0. 5.],[0. 0. 0. 0.]
99682422,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 4. 1. 1.],[0. 0. 0. 0.]
99682427,[0. 6. 0. 1.],[0. 0. 0.],[1. 5. 0.],[0. 0. 0. 0.],[0. 6. 0. 0.]
99682429,[0. 7. 0. 0.],[0. 0. 0.],[3. 4. 0.],[0. 0. 0. 0.],[0. 6. 0. 1.]
99682432,[2. 5. 0. 0.],[1. 1. 0.],[0. 5. 0.],[0. 0. 2. 0.],[0. 5. 0. 0.]
99682437,[0. 7. 0. 0.],[0. 0. 0.],[2. 5. 0.],[0. 0. 0. 0.],[0. 6. 1. 0.]
99682439,[0. 6. 1. 0.],[0. 0. 1.],[0. 7. 0.],[0. 0. 0. 1.],[1. 6. 0. 0.]
99682447,[0. 7. 0. 0.],[0. 0. 0.],[1. 6. 0.],[0. 0. 0. 0.],[0. 7. 0. 0.]
99682448,[0. 5. 1. 1.],[0. 1. 0.],[1. 5. 0.],[0. 1. 0. 0.],[0. 6. 0. 0.]
99682458,[1. 6. 0. 0.],[1. 0. 0.],[0. 6. 0.],[1. 0. 0. 0.],[0. 6. 0. 0.]
99682459,[1. 6. 0. 0.],[0. 1. 0.],[3. 3. 0.],[0. 1. 0. 0.],[0. 6. 0. 0.]
99682460,[1. 6. 0. 0.],[1. 0. 0.],[1. 5. 0.],[1. 0. 0. 0.],[0. 6. 0. 0.]
99682461,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682462,[3. 0. 4. 0.],[5. 1. 1.],[0. 3. 1.],[0. 1. 5. 1.],[1. 2. 1. 0.]
99682465,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99682466,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682467,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[1. 1. 3. 1.],[0. 0. 0. 0.]
99682468,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682469,[3. 0. 1. 3.],[3. 0. 1.],[0. 0. 1.],[0. 2. 1. 1.],[0. 0. 1. 0.]
99682471,[4. 0. 0. 3.],[4. 0. 0.],[0. 0. 0.],[0. 0. 0. 4.],[0. 0. 0. 0.]
99682478,[5. 0. 1. 1.],[4. 2. 0.],[0. 0. 1.],[0. 0. 1. 5.],[1. 0. 0. 0.]
99682480,[2. 1. 2. 2.],[2. 1. 1.],[0. 1. 2.],[0. 4. 0. 0.],[0. 1. 1. 1.]
99682481,[1. 0. 2. 4.],[1. 0. 2.],[0. 1. 1.],[1. 1. 1. 0.],[1. 1. 0. 0.]
99682484,[2. 1. 4. 0.],[5. 0. 1.],[0. 5. 0.],[0. 0. 0. 6.],[0. 1. 0. 4.]
99682492,[1. 2. 1. 3.],[1. 0. 1.],[0. 3. 0.],[0. 1. 0. 1.],[0. 0. 0. 3.]
99682495,[2. 1. 4. 0.],[6. 0. 0.],[1. 4. 0.],[0. 4. 2. 0.],[0. 1. 0. 4.]
99682497,[2. 1. 4. 0.],[5. 1. 0.],[1. 3. 1.],[0. 1. 0. 5.],[0. 2. 1. 2.]
99682498,[0. 0. 0. 3.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
99682506,[2. 0. 0. 5.],[2. 0. 0.],[0. 0. 0.],[1. 0. 0. 1.],[0. 0. 0. 0.]
99682507,[2. 1. 4. 0.],[5. 0. 1.],[0. 3. 2.],[1. 3. 2. 0.],[0. 2. 2. 1.]
99682508,[1. 6. 0. 0.],[0. 0. 1.],[0. 5. 1.],[0. 0. 1. 0.],[0. 0. 0. 6.]
